2016-04-01 13:28:26   24526012  Brick-breaking Wushu Kungfu - HKWSJ - SML.mp4
2016-03-18 14:49:53   10366609 004polarisbigdipperpm.mp4
2014-10-22 18:19:54    3290229 0849.mp4
2014-10-22 18:20:27   35645460 100-year-old-harvest.mp4
2016-02-25 15:38:20   31080474 10860171184_1080p.mp4
2016-04-28 12:09:33   80381026 10996_2012_Venus_Transit_MPEG4_1280X720_29.97.mp4
2014-10-22 18:20:40   12384587 10_Tips_for_Conserving_Water.mp4
2016-04-28 14:16:26   31470539 11558-1920viz-MASTER_high.mp4
2016-02-24 09:55:56    1082486 15115861431_288p.mp4
2016-06-03 12:40:01   34097133 191341833.mp4
2014-10-22 18:20:57   11673428 1946_05_02_Nazi_Film_Shows_V_2_Rocket_Test.mp4
2014-10-22 18:20:58   10885959 1946_11_21_White_Sands_NM_V_2_rocket.mp4
2014-10-22 18:20:59   18430397 1950_Sports_News.mp4
2014-10-22 18:21:01   10578085 1956-08-20_Republican_Convention.mp4
2014-10-22 18:21:02   77379960 1959-01-05_Castro_Triumphs.mp4
2014-10-22 18:21:07   25223857 1962_10_22_The_Red_Threat.mp4
2014-10-22 18:21:10    5802606 1988 Michael Dukakis _New Era_ Ad Campaign - YouTube.mp4
2014-10-22 18:21:11    3088073 1992_Bill_Clinton_Campaign_Ads_around_October_1992.mp4
2014-10-22 18:21:12    2392263 1996 Dole Campaign Commercial - Tax Plan - YouTube.mp4
2016-06-10 15:03:14    9710028 215975066.mp4
2016-03-11 14:21:13   63323015 295738863.mp4
2014-10-22 18:21:30    1680050 2Statue_of_Liberty.mp4
2016-06-16 17:47:45    6682405 3484154797_sd.mp4
2014-10-22 18:22:07    2005799 4114.mp4
2016-04-01 12:25:50    2722627 4515487878987565456512164564789874565412345645.mp4
2016-03-17 13:23:34    3564071 4538255799_sd.mp4
2016-02-16 10:45:06    1713876 5454683530_sd.mp4
2016-01-26 13:35:21   17058335 6219830907_hd.mp4
2016-02-24 17:01:37    9249955 8039961628_hd.mp4
2014-10-22 18:24:22   25384504 8500bc-web.mp4
2016-02-24 16:47:10   15063899 8951480821_720p.mp4
2014-10-22 18:24:28    9253273 911-new.mp4
2014-10-22 18:24:31   15781263 911.mp4
2016-03-17 15:38:26   22107092 9121809882720p2.mp4
2014-10-22 18:24:36  126862067 A Storm to Remember.mp4
